,0
SUOE SW,DARREN
SUOA NA,DARREN
SNAV GY,DARREN
IAT1 SW,DARREN
AT1D SW,DARREN
AT1S SW,DARREN
MIST LN,DARREN
UBBBN MM,DARREN
UCRP IM,DARREN
UCRP GY,DARREN
AFRHG FP,DARREN
AFRHU FP,DARREN
AFLTN MM,DARREN
PR1P GY,DARREN
ETFUSC IM,DARREN
PRIP LN,DARREN
PRUC LN,DARREN
JGSA LN,DARREN
JPSA LN,DARREN
JPAS LN,DARREN
JPSA IM,DARREN
JPPA GY,DARREN
JPSA SW,DARREN
J15R LN,DARREN
JER5 GY,DARREN
JRBE LN,DARREN
JREB GY,DARREN
ALQD GY,DARREN
ALQD LN,DARREN
XBCT GY,ROB
XYLE GY,DARREN
D3V3 GY,DARREN
FLOA SW,DARREN
WTDI GY,DARREN
ETFL53 GY,DARREN
SRIC IM,DARREN
CLIM FP,DARREN
CLIM IM,DARREN
CLIM LN,DARREN
KLMH GY,DARREN
XCO2 GY,DARREN
TABD GY,DARREN
LCVB GY,DARREN
UIMC GY,DARREN
CBSEUA SW,DARREN
PRAE GY,DARREN
PRAU GY,DARREN
UCRP LN,DARREN
SRIC3 FP,DARREN
AGBP LN,DARREN
AGGG LN,DARREN
AGGU LN,DARREN
36BA GY,DARREN
36BE GY,DARREN
4UBP GY,DARREN
4UBR GY,DARREN
5UOA GY,DARREN
ASR3 GY,DARREN
ASR5 GY,DARREN
IDBB SW,DARREN
BSUS LN,DARREN
CBSE LN,DARREN
CBSEUD SW,DARREN
CBSEUS SW,DARREN
CBSEUT SW,DARREN
CLIM SW,DARREN
CLIMN MM,DARREN
CLMD IM,DARREN
CLMU LN,DARREN
COBO IM,DARREN
CORPSI SW,DARREN
CRPA LN,DARREN
DECR GY,DARREN
ECE IM,DARREN
ECO IM,DARREN
ECR3 GY,DARREN
EGRI FP,DARREN
EHBA IM,DARREN
EUCR NA,DARREN
FLRG GY,DARREN
FVSH GY,DARREN
FVUI GY,DARREN
IEGC SW,DARREN
IGBE LN,DARREN
IGLS LN,ROB
IGLT LN,ROB
IGLT IM,ROB
IGLT SW,ROB
INXG LN,ROB
INXG IM,ROB
IAAA LN,ROB
SAAA LN,ROB
IS0Z GY,ROB
IAAA SW,ROB
GAAA LN,ROB
OM3H GR,ROB
TIP5 LN,ROB
TI5MX IX,ROB
TP05 LN,ROB
